Place,Magnitude,Link,Date
"15km W of Petrolia, CA",5.21,https://earthquake.usgs.gov/earthquakes/eventpage/nc73355700,2020-03-18 15:08:20.920000
"246km S of Kangin, Indonesia",6.2,https://earthquake.usgs.gov/earthquakes/eventpage/us60008hzl,2020-03-18 10:45:38.838000
"6km NNE of Magna, Utah",5.7,https://earthquake.usgs.gov/earthquakes/eventpage/uu60363602,2020-03-18 06:09:31.530000
"158km WSW of Lata, Solomon Islands",5.5,https://earthquake.usgs.gov/earthquakes/eventpage/us60008hml,2020-03-17 22:31:33.963000
"97km NNW of Sola, Vanuatu",6.1,https://earthquake.usgs.gov/earthquakes/eventpage/us60008hkg,2020-03-17 20:13:46.088000
"142km N of Tobelo, Indonesia",5.4,https://earthquake.usgs.gov/earthquakes/eventpage/us60008hkf,2020-03-17 20:13:29.295000
"172km E of Hihifo, Tonga",6,https://earthquake.usgs.gov/earthquakes/eventpage/us60008h76,2020-03-17 09:06:22.225000
"53km NNW of Tome, Chile",5.6,https://earthquake.usgs.gov/earthquakes/eventpage/us60008gzt,2020-03-17 01:12:02.987000
"195km SSE of Lata, Solomon Islands",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us60008g8y,2020-03-15 16:33:16.226000
"95km WNW of Bandar 'Abbas, Iran",5.3,https://earthquake.usgs.gov/earthquakes/eventpage/us60008g7m,2020-03-15 15:04:25.403000
"116km SW of Panenggoede, Indonesia",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us60008g6f,2020-03-15 14:05:32.419000
"25km SW of Villa Comaltitlan, Mexico",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us60008fuy,2020-03-14 18:22:17.338000
"298km NE of Raoul Island, New Zealand",6.3,https://earthquake.usgs.gov/earthquakes/eventpage/us60008fl8,2020-03-14 03:01:17.383000
"4km SE of Puerto Armuelles, Panama",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us60008euj,2020-03-12 21:46:39.405000
"86km ENE of Iquique, Chile",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us60008eru,2020-03-12 19:08:02.620000
"107km WSW of San Nicolas, Philippines",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us60008epc,2020-03-12 15:00:47.919000
"26km NNW of Nanao, Japan",5.3,https://earthquake.usgs.gov/earthquakes/eventpage/us60008egj,2020-03-12 10:18:46.115000
"111km SE of Neiafu, Tonga",5.3,https://earthquake.usgs.gov/earthquakes/eventpage/us60008e9x,2020-03-12 05:50:30.336000
"99km S of Wonosari, Indonesia",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us60008e67,2020-03-12 01:03:18.752000
"112km SE of Neiafu, Tonga",5.3,https://earthquake.usgs.gov/earthquakes/eventpage/us60008dwq,2020-03-11 12:54:10.022000
"70km S of Panguna, Papua New Guinea",5.3,https://earthquake.usgs.gov/earthquakes/eventpage/us60008dpf,2020-03-11 08:16:55.980000
"134km SE of L'Esperance Rock, New Zealand",5.3,https://earthquake.usgs.gov/earthquakes/eventpage/us60008dgf,2020-03-10 18:01:47.965000
"127km SW of Kuripan, Indonesia",5.5,https://earthquake.usgs.gov/earthquakes/eventpage/us60008d51,2020-03-10 07:06:25.529000
"88km NNE of San Pedro de Atacama, Chile",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us60008d4v,2020-03-10 06:44:20.456000
"209km NNW of Puerto Ayora, Ecuador",5.5,https://earthquake.usgs.gov/earthquakes/eventpage/us60008d3z,2020-03-10 04:13:48.439000
"145km ENE of Luring, China",5.3,https://earthquake.usgs.gov/earthquakes/eventpage/us60008clh,2020-03-09 11:12:09.373000
"156km NNE of Rumung, Micronesia",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us60008cdq,2020-03-09 02:45:46.843000
"69km W of Petrolia, CA",5.77,https://earthquake.usgs.gov/earthquakes/eventpage/nc73351710,2020-03-08 19:59:08.860000
"30km SSE of Canico, Portugal",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us60008brw,2020-03-07 12:58:03.608000
West Chile Rise,5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us60008bmi,2020-03-07 04:43:08.119000
"294km WNW of Saumlaki, Indonesia",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us60008blz,2020-03-07 03:35:25.398000
"53km WSW of Port-Vila, Vanuatu",5.5,https://earthquake.usgs.gov/earthquakes/eventpage/us60008bj6,2020-03-06 21:43:45.672000
"71km SE of Estacion Coahuila, B.C., MX",5.49,https://earthquake.usgs.gov/earthquakes/eventpage/ci38385946,2020-03-06 19:52:03.180000
"23km ESE of Buenos Aires, Costa Rica",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us60008bgr,2020-03-06 18:40:48.337000
Southwest Indian Ridge,5.9,https://earthquake.usgs.gov/earthquakes/eventpage/us60008ay3,2020-03-06 02:28:42.093000
Southern Mid-Atlantic Ridge,5.4,https://earthquake.usgs.gov/earthquakes/eventpage/us60008a9i,2020-03-05 06:58:45.791000
"168km ESE of Raoul Island, New Zealand",5.6,https://earthquake.usgs.gov/earthquakes/eventpage/us60008a7b,2020-03-05 05:11:46.047000
"161km ENE of Angoram, Papua New Guinea",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us60008a39,2020-03-05 02:05:06.455000
"39km S of Tinogasta, Argentina",5.5,https://earthquake.usgs.gov/earthquakes/eventpage/us600089zt,2020-03-04 22:57:42.118000
"67km S of Bristol Island, South Sandwich Islands",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us600089h2,2020-03-04 08:47:56.844000
"50km W of Amatignak Island, Alaska",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us600088i8,2020-03-03 00:42:02.896000
"64km S of Bristol Island, South Sandwich Islands",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us6000885x,2020-03-02 13:23:15.272000
"53km WSW of Amatignak Island, Alaska",5.7,https://earthquake.usgs.gov/earthquakes/eventpage/us600087lz,2020-03-01 16:31:16.028000
"5km NNE of Culasian, Philippines",5.3,https://earthquake.usgs.gov/earthquakes/eventpage/us600087il,2020-03-01 13:19:20.194000
"158km N of Tobelo, Indonesia",5.3,https://earthquake.usgs.gov/earthquakes/eventpage/us600086um,2020-02-29 01:28:26.486000
"135km ESE of Tadine, New Caledonia",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us600086su,2020-02-28 22:43:42.662000
"103km SE of Neiafu, Tonga",5.3,https://earthquake.usgs.gov/earthquakes/eventpage/us600086p0,2020-02-28 17:57:12.272000
"201km NW of Visokoi Island, South Georgia and the South Sandwich Islands",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us600086as,2020-02-28 10:47:58.634000
"43km WSW of Pagaralam, Indonesia",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us6000863e,2020-02-28 06:02:55.047000
"117km ESE of Neiafu, Tonga",5.7,https://earthquake.usgs.gov/earthquakes/eventpage/us600085x5,2020-02-27 23:41:50.508000
Southern East Pacific Rise,5.4,https://earthquake.usgs.gov/earthquakes/eventpage/us600085my,2020-02-27 14:20:36.874000
"179km S of Sarangani, Philippines",5.5,https://earthquake.usgs.gov/earthquakes/eventpage/us600085g3,2020-02-27 11:13:02.846000
Southern Mid-Atlantic Ridge,5.3,https://earthquake.usgs.gov/earthquakes/eventpage/us6000859r,2020-02-27 07:18:18.668000
Southern Mid-Atlantic Ridge,5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us60008535,2020-02-26 20:11:11.106000
"48km NNW of Saumlaki, Indonesia",5.9,https://earthquake.usgs.gov/earthquakes/eventpage/us600084gu,2020-02-25 23:33:13.350000
"109km WNW of Kirakira, Solomon Islands",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us6000848g,2020-02-25 13:17:33.520000
"50km NNW of Hualian, Taiwan",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us70007we1,2020-02-25 03:14:04.234000
"79km W of Santiago de Cao, Peru",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us70007w9l,2020-02-24 20:15:02.857000
"240km SE of Lambasa, Fiji",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us70007w8g,2020-02-24 18:07:28.142000
"83km ESE of Muara Siberut, Indonesia",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us70007w28,2020-02-24 12:59:21.129000
"24km SE of Saray, Turkey",6,https://earthquake.usgs.gov/earthquakes/eventpage/us70007v9g,2020-02-23 08:00:31.630000
"67km NE of Kuril'sk, Russia",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us70007v6u,2020-02-23 04:57:08.617000
"26km ESE of Saray, Turkey",5.8,https://earthquake.usgs.gov/earthquakes/eventpage/us70007v29,2020-02-22 21:53:01.250000
"141km SE of Modayag, Indonesia",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us70007v12,2020-02-22 19:39:56.126000
"135km SE of Modayag, Indonesia",5.3,https://earthquake.usgs.gov/earthquakes/eventpage/us70007v0d,2020-02-22 18:08:07.089000
West Chile Rise,5.5,https://earthquake.usgs.gov/earthquakes/eventpage/us70007uy4,2020-02-22 15:12:36.918000
"62km SSE of `Ohonua, Tonga",5.5,https://earthquake.usgs.gov/earthquakes/eventpage/us70007uvu,2020-02-22 11:46:11.292000
"40km SSE of `Ohonua, Tonga",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us70007uuu,2020-02-22 10:50:17.303000
"110km SSE of Pondaguitan, Philippines",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us70007usp,2020-02-22 07:34:45.820000
