Place,Magnitude,Link,Date
"15km W of Petrolia, CA",5.21,https://earthquake.usgs.gov/earthquakes/eventpage/nc73355700,2020-03-18
"246km S of Kangin, Indonesia",6.2,https://earthquake.usgs.gov/earthquakes/eventpage/us60008hzl,2020-03-18
"6km NNE of Magna, Utah",5.7,https://earthquake.usgs.gov/earthquakes/eventpage/uu60363602,2020-03-18
"158km WSW of Lata, Solomon Islands",5.5,https://earthquake.usgs.gov/earthquakes/eventpage/us60008hml,2020-03-18
"97km NNW of Sola, Vanuatu",6.1,https://earthquake.usgs.gov/earthquakes/eventpage/us60008hkg,2020-03-18
"142km N of Tobelo, Indonesia",5.4,https://earthquake.usgs.gov/earthquakes/eventpage/us60008hkf,2020-03-18
"172km E of Hihifo, Tonga",6,https://earthquake.usgs.gov/earthquakes/eventpage/us60008h76,2020-03-17
"53km NNW of Tome, Chile",5.6,https://earthquake.usgs.gov/earthquakes/eventpage/us60008gzt,2020-03-17
"195km SSE of Lata, Solomon Islands",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us60008g8y,2020-03-15
"95km WNW of Bandar 'Abbas, Iran",5.3,https://earthquake.usgs.gov/earthquakes/eventpage/us60008g7m,2020-03-15
"116km SW of Panenggoede, Indonesia",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us60008g6f,2020-03-15
"25km SW of Villa Comaltitlan, Mexico",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us60008fuy,2020-03-15
"298km NE of Raoul Island, New Zealand",6.3,https://earthquake.usgs.gov/earthquakes/eventpage/us60008fl8,2020-03-14
"4km SE of Puerto Armuelles, Panama",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us60008euj,2020-03-13
"86km ENE of Iquique, Chile",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us60008eru,2020-03-13
"107km WSW of San Nicolas, Philippines",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us60008epc,2020-03-12
"26km NNW of Nanao, Japan",5.3,https://earthquake.usgs.gov/earthquakes/eventpage/us60008egj,2020-03-12
"111km SE of Neiafu, Tonga",5.3,https://earthquake.usgs.gov/earthquakes/eventpage/us60008e9x,2020-03-12
"99km S of Wonosari, Indonesia",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us60008e67,2020-03-12
"112km SE of Neiafu, Tonga",5.3,https://earthquake.usgs.gov/earthquakes/eventpage/us60008dwq,2020-03-11
"70km S of Panguna, Papua New Guinea",5.3,https://earthquake.usgs.gov/earthquakes/eventpage/us60008dpf,2020-03-11
"134km SE of L'Esperance Rock, New Zealand",5.3,https://earthquake.usgs.gov/earthquakes/eventpage/us60008dgf,2020-03-11
"127km SW of Kuripan, Indonesia",5.5,https://earthquake.usgs.gov/earthquakes/eventpage/us60008d51,2020-03-10
"88km NNE of San Pedro de Atacama, Chile",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us60008d4v,2020-03-10
"209km NNW of Puerto Ayora, Ecuador",5.5,https://earthquake.usgs.gov/earthquakes/eventpage/us60008d3z,2020-03-10
"145km ENE of Luring, China",5.3,https://earthquake.usgs.gov/earthquakes/eventpage/us60008clh,2020-03-09
"156km NNE of Rumung, Micronesia",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us60008cdq,2020-03-09
"69km W of Petrolia, CA",5.77,https://earthquake.usgs.gov/earthquakes/eventpage/nc73351710,2020-03-09
"30km SSE of Canico, Portugal",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us60008brw,2020-03-07
West Chile Rise,5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us60008bmi,2020-03-07
"294km WNW of Saumlaki, Indonesia",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us60008blz,2020-03-07
"53km WSW of Port-Vila, Vanuatu",5.5,https://earthquake.usgs.gov/earthquakes/eventpage/us60008bj6,2020-03-07
